Ativo,Nome,Setor,Retorno Anual (%),Volatilidade Anual (%),Retorno Min (%),Retorno Max (%),Observações
PETR4,Petróleo Brasileiro S.A.,Petróleo e Gás,26.12%,33.84%,-18.88%,26.97%,23
VALE3,Vale S.A.,Mineração,16.56%,24.10%,-11.41%,14.24%,23
ITUB4,Itaú Unibanco Holding S.A.,Finanças e Seguros,10.72%,22.37%,-17.10%,11.01%,23
BBDC4,Banco Bradesco S.A.,Finanças e Seguros,12.95%,29.72%,-16.93%,18.00%,23
ABEV3,Ambev S.A.,Bebidas,-5.42%,27.28%,-16.96%,12.97%,23
B3SA3,B3 S.A.,Finanças e Seguros,28.71%,28.86%,-15.03%,16.03%,23
WEGE3,WEG S.A.,Máquinas e Equipamentos,35.25%,24.45%,-9.28%,17.64%,23
RENT3,Localiza Rent a Car S.A.,Outros Serviços,35.42%,28.43%,-12.03%,23.41%,23
LREN3,Lojas Renner S.A.,Comércio,26.95%,23.77%,-9.45%,19.30%,23
ELET3,Centrais Elétricas Brasileiras,Energia Elétrica,33.70%,63.60%,-26.50%,43.41%,23
